dfa_alpha1,Sub_vt1,Mid_vt,Supra_vt2,VT_label_3class,Supra_vt1
0.41390443974631963,0,1,0,Mid_vt,1
0.3941954359554381,0,1,0,Mid_vt,1
1.4969501025282843,1,0,0,Sub_vt1,0
1.651788801609436,1,0,0,Sub_vt1,0
1.7648188823580397,1,0,0,Sub_vt1,0
1.5746477395179808,1,0,0,Sub_vt1,0
1.6381291972550867,1,0,0,Sub_vt1,0
1.4901503695724923,1,0,0,Sub_vt1,0
1.2278750634991378,0,1,0,Mid_vt,1
0.8375186082999079,0,1,0,Mid_vt,1
0.7665483826072516,0,1,0,Mid_vt,1
0.9329259454946959,0,1,0,Mid_vt,1
0.6571872426889501,0,1,0,Mid_vt,1
0.5536171242899678,0,1,0,Mid_vt,1
0.5413246858727262,0,0,1,Supra_vt2,1
0.43040296343782986,0,0,1,Supra_vt2,1
1.2007613488479303,1,0,0,Sub_vt1,0
1.5774209590836146,1,0,0,Sub_vt1,0
1.3562177454945057,1,0,0,Sub_vt1,0
1.046648490935822,1,0,0,Sub_vt1,0
1.0659162759836207,1,0,0,Sub_vt1,0
1.124623661306366,1,0,0,Sub_vt1,0
0.6433917058649501,0,1,0,Mid_vt,1
0.4504684451406103,0,0,1,Supra_vt2,1
0.5222669106167663,0,0,1,Supra_vt2,1
0.17540716499619985,0,0,1,Supra_vt2,1
1.6033856104160675,1,0,0,Sub_vt1,0
1.5947875586346314,1,0,0,Sub_vt1,0
1.6886965819036963,1,0,0,Sub_vt1,0
1.584267370108593,1,0,0,Sub_vt1,0
1.0176553153500607,1,0,0,Sub_vt1,0
0.34261985042055515,0,1,0,Mid_vt,1
0.4117101913468017,0,0,1,Supra_vt2,1
0.4935176986563148,0,0,1,Supra_vt2,1
1.6929415717089964,1,0,0,Sub_vt1,0
1.6384819244473958,0,1,0,Mid_vt,1
1.4840251636031776,0,1,0,Mid_vt,1
1.2801054264722218,0,1,0,Mid_vt,1
0.97278619626826,0,1,0,Mid_vt,1
1.0640447322808422,0,1,0,Mid_vt,1
0.47436588292567705,0,0,1,Supra_vt2,1
0.5217648752206849,0,0,1,Supra_vt2,1
0.40842266220735834,0,0,1,Supra_vt2,1
1.429927226156788,1,0,0,Sub_vt1,0
1.015288126426563,1,0,0,Sub_vt1,0
0.9155014877296699,1,0,0,Sub_vt1,0
0.3732008525624098,0,1,0,Mid_vt,1
1.0662663330024502,1,0,0,Sub_vt1,0
1.3507985142243342,0,1,0,Mid_vt,1
1.0111493984165656,0,1,0,Mid_vt,1
0.7073076469440619,0,1,0,Mid_vt,1
0.8121301364774404,0,1,0,Mid_vt,1
0.5531697567858368,0,1,0,Mid_vt,1
0.3302550741652654,0,0,1,Supra_vt2,1
1.410956678764149,0,1,0,Mid_vt,1
1.4277222300474015,0,1,0,Mid_vt,1
1.5276702185340956,0,1,0,Mid_vt,1
1.4320120115849169,0,1,0,Mid_vt,1
1.419488548706962,0,1,0,Mid_vt,1
1.1449050271238517,0,1,0,Mid_vt,1
1.0469782090291815,0,1,0,Mid_vt,1
1.151424745890946,0,1,0,Mid_vt,1
1.190192054389584,0,1,0,Mid_vt,1
1.412047708617161,0,1,0,Mid_vt,1
1.3088695447864382,0,1,0,Mid_vt,1
0.9457924197819305,0,1,0,Mid_vt,1
1.3588626653679103,0,1,0,Mid_vt,1
1.4564978303450709,0,1,0,Mid_vt,1
0.86396283844574,0,1,0,Mid_vt,1
0.5718750951430729,0,1,0,Mid_vt,1
0.6178068041614229,0,1,0,Mid_vt,1
1.1790739196802178,0,1,0,Mid_vt,1
1.1670381382140804,0,1,0,Mid_vt,1
1.3306016568561347,0,1,0,Mid_vt,1
1.3411035116766092,0,1,0,Mid_vt,1
0.5952598988867625,0,1,0,Mid_vt,1
0.7093867897650676,0,1,0,Mid_vt,1
1.275984766409911,0,1,0,Mid_vt,1
1.390858602357266,0,1,0,Mid_vt,1
1.4128536219881096,0,1,0,Mid_vt,1
1.0637828494359336,0,1,0,Mid_vt,1
1.0810663323532153,0,1,0,Mid_vt,1
0.5870307755709663,0,1,0,Mid_vt,1
1.1154047143141261,0,1,0,Mid_vt,1
1.3360022159271474,0,1,0,Mid_vt,1
1.4283885626047956,0,1,0,Mid_vt,1
1.3128530205151756,0,1,0,Mid_vt,1
1.46813436188412,0,1,0,Mid_vt,1
0.8550402377441546,0,1,0,Mid_vt,1
1.1695887530452003,0,1,0,Mid_vt,1
1.479799566478494,0,1,0,Mid_vt,1
1.4041055132100644,0,1,0,Mid_vt,1
1.4435146885368333,0,1,0,Mid_vt,1
1.5163658340132553,0,1,0,Mid_vt,1
1.2166011568911563,0,1,0,Mid_vt,1
1.4346279922994951,0,1,0,Mid_vt,1
1.1179778390210275,0,1,0,Mid_vt,1
1.1599916938149948,0,1,0,Mid_vt,1
0.843729145705395,0,1,0,Mid_vt,1
1.1373814999415508,0,1,0,Mid_vt,1
0.8362694999493627,0,1,0,Mid_vt,1
0.5163812023019128,0,1,0,Mid_vt,1
1.5682358930666076,0,1,0,Mid_vt,1
1.267072409514021,0,1,0,Mid_vt,1
1.0943045755150902,0,1,0,Mid_vt,1
1.368459141751312,0,1,0,Mid_vt,1
1.558556570753001,0,1,0,Mid_vt,1
1.554255933193485,0,1,0,Mid_vt,1
1.2855997450321925,0,1,0,Mid_vt,1
0.8823675981261896,0,1,0,Mid_vt,1
1.5350759066019826,0,1,0,Mid_vt,1
1.5383648639041902,0,1,0,Mid_vt,1
1.069678333158498,0,1,0,Mid_vt,1
1.6208690221747026,1,0,0,Sub_vt1,0
1.5872103289100798,1,0,0,Sub_vt1,0
1.2927142240874172,1,0,0,Sub_vt1,0
1.0655230050458786,1,0,0,Sub_vt1,0
1.5031609959266827,1,0,0,Sub_vt1,0
1.7321848697984834,1,0,0,Sub_vt1,0
1.4585369056947395,1,0,0,Sub_vt1,0
1.426813983931962,1,0,0,Sub_vt1,0
1.4628953303522099,1,0,0,Sub_vt1,0
1.556892770765168,1,0,0,Sub_vt1,0
1.3056940947939277,1,0,0,Sub_vt1,0
1.660821122125868,1,0,0,Sub_vt1,0
1.4254569105076718,1,0,0,Sub_vt1,0
1.1380251802568708,1,0,0,Sub_vt1,0
1.3770671002615713,1,0,0,Sub_vt1,0
1.2823052946598021,1,0,0,Sub_vt1,0
1.2124531072858062,1,0,0,Sub_vt1,0
1.4127899522628313,1,0,0,Sub_vt1,0
1.5140493666630621,1,0,0,Sub_vt1,0
1.6186580845784493,1,0,0,Sub_vt1,0
1.3121100737430125,1,0,0,Sub_vt1,0
1.6045915343438806,1,0,0,Sub_vt1,0
1.5145235630563443,1,0,0,Sub_vt1,0
1.5925841532753948,1,0,0,Sub_vt1,0
1.6548566922352512,1,0,0,Sub_vt1,0
1.6392451085368958,1,0,0,Sub_vt1,0
1.390877525201237,1,0,0,Sub_vt1,0
1.6825949926821049,1,0,0,Sub_vt1,0
1.5147866326467005,1,0,0,Sub_vt1,0
1.2967012572965946,1,0,0,Sub_vt1,0
1.2893847897097364,1,0,0,Sub_vt1,0
1.4508389406727622,1,0,0,Sub_vt1,0
1.4212128367574615,1,0,0,Sub_vt1,0
1.414676688928118,1,0,0,Sub_vt1,0
1.2437183525117996,1,0,0,Sub_vt1,0
1.4047228746257494,1,0,0,Sub_vt1,0
1.2256584278772813,1,0,0,Sub_vt1,0
1.477522912653145,1,0,0,Sub_vt1,0
1.6193002614392384,1,0,0,Sub_vt1,0
1.5126446228398953,1,0,0,Sub_vt1,0
